1,3
2,7
3,1
4,0
5,10
6,8
7,6
8,2
9,4
10,6
11,9
12,10
13,8
14,13
15,1
16,10
17,3
18,8
19,10
20,1
21,8
22,8
23,7
24,6
25,1
26,1
27,12
28,11
29,1
30,3
31,9
32,0
33,6
34,0
35,6
36,8
37,5
38,2
39,11
40,8
41,4
42,2
43,0
44,8
45,3
46,6
47,9
48,13
49,12
50,4
51,10
52,12
53,0
54,9
55,10
56,2
57,10
58,8
59,8
60,7
61,13
62,1
63,2
64,6
65,10
66,0
67,12
68,11
69,2
70,10
71,9
72,2
73,7
74,2
75,1
76,0
77,2
78,6
79,2
80,4
81,11
82,1
83,10
84,12
85,0
86,11
87,10
88,4
89,12
90,1
91,1
92,1
93,0
94,4
95,1
96,6
97,12
98,11
99,11
100,8
101,0
102,11
103,2
104,11
105,11
106,11
107,8
108,11
109,7
110,4
111,13
112,11
113,13
114,1
115,1
116,13
117,4
118,11
119,12
120,10
121,4
122,7
123,0
124,10
125,8
126,3
127,11
128,1
129,1
130,12
131,6
132,5
133,8
134,3
135,5
136,9
137,11
138,3
139,10
140,2
141,8
142,1
143,12
144,6
145,0
146,6
147,3
148,2
149,12
150,2
151,10
152,1
153,3
154,1
155,1
156,6
157,8
158,0
159,0
160,8
161,4
162,9
163,11
164,1
165,0
166,11
167,6
168,10
169,1
170,0
171,13
172,2
173,7
174,7
175,0
176,8
177,0
178,8
179,11
180,2
181,11
182,7
183,9
184,12
185,9
186,8
187,3
188,1
189,11
190,13
191,3
192,1
193,5
194,8
195,1
196,0
197,6
198,11
199,11
200,9
201,1
202,2
203,3
204,2
205,2
206,1
207,11
208,0
209,6
210,4
211,6
212,11
213,1
214,11
215,4
216,9
217,4
218,7
219,13
220,1
221,0
222,12
223,9
224,1
225,6
226,11
227,11
228,1
229,1
230,11
231,2
232,12
233,7
234,5
235,2
236,12
237,4
238,6
239,1
240,10
241,7
242,11
243,8
244,13
245,4
246,0
247,0
248,0
249,2
250,2
251,6
